'Phys.Algebra.ii5_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ii5_imag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ii5_alt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ii5_gFormC_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlockLin_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlockLin_mem_genLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlockLin_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlockLin_mem_gen2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlock_bridge_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlock_bridge_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2_ii5_anticomm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.je2_ii5_anticomm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ke2je2_ii5_anticomm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ii4_ii5_anticomm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.block3_fixes_ii5' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlock_negates_ii5' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.quadBlock_ii5_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
