'Phys.Algebra.kakWordLin_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.kakWordLin_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.biMulV' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genTwoPlaneLin_vblock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane_fix_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormC_polarize' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane_gFormC_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane_reQC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.commuteBlockNinth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genTwoPlaneLin_commute_planeRot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.blockWordLin_commute_planeRot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.blockWordLin_append' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.kakWordLin_degenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.kakWord_e2je2_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.kakWord_e2je2_x_val' depends on axioms: [propext, Classical.choice, Quot.sound]
