'Phys.Algebra.axisRotLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_one_eq_planeRotLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormC_add_axis_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ninthFamilyGenSetLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genIsomMonoidLinFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genIsomMonoidLinFamily_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_mem_genIsomMonoidLinFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ninthGenSetLin_subset_ninthFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genIsomMonoidLinPlus_le_genIsomMonoidLinFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane_e2_je2_e2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormC_neg_e2_e2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRot_word_e2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.word_axisRot_e2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_word_not_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRot_word_e2_val' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.word_axisRot_e2_val' depends on axioms: [propext, Classical.choice, Quot.sound]
