'Phys.Algebra.enlargedAxisNinth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.genIsomMonoidLin_le_family' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_e2_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_e2_moves_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_e2_reads_s' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedTwoPlaneNinth_e2_reads_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_e2_not_mem_genIsomMonoidLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_ne_enlargedTwoPlaneNinth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.five_twelve_thirteen_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.twelve_thirteenths_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.enlargedAxisNinth_e2_deep_val' depends on axioms: [propext, Classical.choice, Quot.sound]
