'Phys.Algebra.deflateNinth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormC_pos_of_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_r_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_axis_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_circle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isom_xaxis_image_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_apply_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflateNinth_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_witness_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_witness_v_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_witness_x_val' depends on axioms: [propext, Classical.choice, Quot.sound]
