'Phys.Algebra.axisRotLin_comp_same_axis' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.axisRotLin_one_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflateNinth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflateNinth_circle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflateNinth_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflateNinth_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflate_deflate_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflateNinth_apply_pole' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.deflate_factorization_stabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.inflate_witness_x_val' depends on axioms: [propext, Classical.choice, Quot.sound]
