'Phys.Algebra.octRefl_trace_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_gFormC_imag_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_polarize_imag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_selfconj_eq_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_mul_self_imag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_reflect_imag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_gFormC_neg_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_swap_unnorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_biMul_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octRefl_swap_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octBisector_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_isQvIsomC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_apply_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_e2_je2_gFormC_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_witness_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_witness_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octDeflate_witness_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
