'Phys.Algebra.gFormCRight' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ePerp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.mem_ePerp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormCRight_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ePerp_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isom_fixes_mapsTo_ePerp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isomRestrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isomRestrict_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isomRestrict_gFormC_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ePerp_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.self_not_mem_ePerp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ePerp_ne_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.vTwoPlane_e2je2_fixes_ke2je2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rankdrop_witness_mapsTo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rankdrop_witness_self_overlap' depends on axioms: [propext, Classical.choice, Quot.sound]
