'Phys.Algebra.octReflBlock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_gFormC_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_fixes_orthogonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_mapsTo_ePerp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlockRestrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlockRestrict_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlockRestrict_gFormC_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_witness_self_overlap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.octReflBlock_mapsTo_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
