'Phys.Algebra.BvC_add_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.BvC_smul_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.BvCRight' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fixSubmoduleM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.mem_fixSubmoduleM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.IsBvIsomLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.IsBvIsomLin.comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isBvIsomLin_ne_id_has_moved' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_fixes_ortho' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_neg_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.BvC_houseterm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderMSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_oracle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.BvC_mTimeUnit_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.BvC_mSpaceUnit_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_witness_neg_T' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_witness_neg_X' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.houseHolderM_witness_self_overlap_T' depends on axioms: [propext, Classical.choice, Quot.sound]
