'Phys.Algebra.parityLin_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.det_negId_Cut' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.det_negId_OCut' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.det_parityLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.det_timeRevLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.det_ptLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isQvIsomC_parityLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isQvIsomC_timeRevLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isQvIsomC_ptLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.parityLin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.timeRevLin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ptLin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.parity_timeRev_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ptLin_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.parityLin_e0_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.timeRevLin_e0_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ptLin_e0_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.joinedIdQvC_discreteReduce' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fullO19_components_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fullO19_discreteReduce_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
