'Phys.Foundation.ContinuumQ.expTermC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.expTermC_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.expTermC_abs_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.expTermC_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_hasSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.expTermC_prod_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.expTermC_antidiagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_mul_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_one_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutExp_one_add_one' depends on axioms: [propext, Classical.choice, Quot.sound]
