'Phys.Algebra.parityUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.timeRevUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ptUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_eq_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_elem_involution' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_natCard_eq_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_monoidExponent_eq_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_isKleinFour' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_not_isCyclic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.o19Comp_mulEquiv_zmod2sq_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
