'Phys.Algebra.hI_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hJ_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hK_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hI_hJ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hJ_hI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hJ_hK' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hK_hJ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hK_hI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.hI_hK' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isDerivH_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.derivationH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_isDerivH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_ij' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_jk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_ki' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_k_on_i' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_k_on_i_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_k_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adM_ij_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
