'Phys.Algebra.bAdj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bornBil_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isAdjointPair_swap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.bAdj_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.mem_self_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.mem_skew_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.selfSkew_disjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.selfSkew_codisjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.selfSkew_isCompl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_end_eq_49' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_selfAdj_eq_28' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adEnd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.adEnd_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.skewAdj_adEnd_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.selfAdj_adEnd_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.one_mem_selfAdj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.one_adEnd_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.sym_antisym_decomposition_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
