'Phys.Algebra.commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.projTrivial_mem_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.proj7_mem_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.proj14_mem_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.proj27_mem_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fourProj_mem_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fourProj_mul_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fourProj_mul_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fourProj_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.liftComm_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.four_le_finrank_commutantG2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.fft_lower_bound_toolkit' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT 0
