'Phys.Algebra.HJ.mat_smul_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mat_mul_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Lmul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Lmul_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_antisymm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRmulL' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_Dg_slotB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_Dg_slotA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotC_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.star_qsmul' depends on axioms: [propext, Classical.choice, Quot.sound]
'star_qsmul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.weight_diff_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_slot_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_moves_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.inner_multiplication_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
