'Phys.Algebra.HJ.slotA_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_Dg_slotC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_slot_diagBC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_slot_diagCA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_root_sum_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.cyc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.cyc_slotA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.cyc_slotB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.cyc_slotC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.cyc_Dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.framePerm_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.framePerm_innerMul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_family_orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.inner_root_no_fixed_direction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_diagBC_nonvacuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.inner_multiplication_triangle_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT: 0
