'Phys.Algebra.e4O_memI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e5O_memI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2O_memI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e3O_memI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DI_e4I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DI_e5I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DI_e2I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.chargeOp_e4I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.chargeOp_e5I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e45_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2367_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_Winert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_Wactive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winert_sup_Wactive_eq_Vsub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e4O_mem_Uhol' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e5O_not_mem_Uhol' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e5O_mem_Uah' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e5O_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e4O_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winert_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.chargeOp_e4I_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.joint_charge_isospin_weight_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
