'Phys.Algebra.imRep_DK_eq_qI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DI_u1I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DJ_e5I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.imRep_DK_e6I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_TL' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_TR' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_Sg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TL_sup_Sg_sup_TR_eq_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.casimirOp_eq_qI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CasMat_val' depends on axioms: [propext]
'Phys.Algebra.casimirOp_u1I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.casimirOp_e5I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.casimirOp_e4I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.kap1'_eq_e4I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TL_no_fixed_vector' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.multBasis_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TL_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TR_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e4O_mem_Winert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2O_mem_Uhol' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TL_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.TR_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.isospin_multiplet_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
