'Phys.Algebra.leftmul_comm_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.assoc_iotaO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.u1_iotaO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2O_iotaO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e3O_iotaO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregI' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregJ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregK' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregI_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregJ_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregK_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.leftReg_closure_on_H_IJ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gForm_u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gForm_e2I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gForm_e3I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.leftReg_casimir_eq_neg_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.leftReg_obstruction_at_e4O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.leftReg_comm_obstructed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.leftReg_defect_eq_associator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.weak_doublet_leftregular_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
