'Phys.Algebra.flex_reg_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.lregI_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rregI_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldRoot_faces_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_u1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e2O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e3O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e4O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e5O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e6O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_kills_e7O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldAx_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldAx_u1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_add_foldAx' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_sub_foldAx' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldVec_imaginary_content_is_u1_axis' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.colour_centralizes_both_faces' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.foldRoot_neutral_torus_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
