'Phys.Algebra.HJ.jb_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Xz_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotA_one_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_one_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jActL_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.IsHermJordanDerivQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.hermJordanDerivQ_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mem_derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jActL_mem_derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.g2ToDerH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.g2ToDerH3_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.g2ToDerH3_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_escapes_g2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.g2ToDerH3_witness_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.herm_arena_derivation_algebra_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT 0
