'Phys.Algebra.HJ.slotC_one_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jAct_slotC_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_slotA1_slotA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_slotB1_slotB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jb_slotC1_slotC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_mem_derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_mem_derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_mem_derH3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_gauge_central' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_gauge_central' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_gauge_central' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_slotB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_slotA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_slotC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotA_one_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_slotB_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_rotation_generators' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT 0
