'Phys.Algebra.HJ.ocR_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocR_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_assoc_L' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_assoc_R' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.collapse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotA_one_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_one_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotC_one_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_so3_CA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_so3_AB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_so3_BC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_famA_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_famB_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_famC_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_rotation_so3' depends on axioms: [propext, Classical.choice, Quot.sound]
REAUDIT EXIT 0
