'Phys.Algebra.HJ.family_invariant_core_eq_span_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.faminvariant_eq_scalar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_forces_12' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_forces_02' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_forces_diag_10' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_forces_01' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_forces_10' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_forces_diag_20' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotA_one_not_faminvariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_ocRM_Dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Dg_eq_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Dg_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Ka_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Kb_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mul_ocR_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famA_Dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famB_Dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_Dg' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT=0
