'Phys.Algebra.HJ.u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_assoc_M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1_alt_L' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1_alt_R' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1_alt_M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_assoc_L' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_assoc_R' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_assoc_M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_bracket_u1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1_entry_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1_ocR_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocR_u1_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.u1M_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_ocRM_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotA_u1_u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotB_u1_u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.slotC_u1_u1M' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.kAB_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.kBC_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.kCA_eq_adE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_close_AB_BC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_close_BC_CA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.q_close_CA_AB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_u1_bracket_ocRM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.ocRM_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.adE_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.coset_close_AB_BC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.coset_close_BC_CA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.coset_close_CA_AB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.coset_symmetric_pair_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
