'Phys.Algebra.HJ.rtr_mul_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.rtr_mul_assoc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.traceform_associative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_kills_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jActL_kills_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.herm_jTr_eq_ocR_rtr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.innerMul_kills_jTr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.jActL_kills_jTr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.dilation_trace_rtr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.dilation_trace_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.trace_form_invariance_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
