'Phys.Algebra.HJ.hermSub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mem_hermSub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.lmul_mapsTo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.derH3_mapsTo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.TA_herm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.restricted_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.derH3_kills_hermTrace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.dilation_restrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.one_mem_hermSub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.hermSub_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.finrank_hermSub_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.dilation_hermTrace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.dilation_hermTrace_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.herm_trace_commutator_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
