'Phys.Algebra.HJ.Dg_herm_gen' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.Dg_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_diag_to_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.famC_slotC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_rotates_split_to_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_rotates_mix_to_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_fixes_dilation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_kills_linear_spectral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_kills_quadratic_spectral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_rotates_split_to_mix_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.family_mass_mixing_orbit_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
