'Phys.Algebra.HJ.massVec_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.e1_amp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.sqsum_amp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.sigma1_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mass_koide' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.e3amp_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.e2_amp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.sigma2_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.sigma3_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mass_cubic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.triple_phase_is_holonomy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.triple_phase_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.sigma1_forced_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.genVec_ev1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.genVec_ev2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.mass_degenerate_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.amp_distinct01' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.amp_distinct12' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.amp_distinct02' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.conic_point_valid' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.HJ.generation_mass_ratio_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
