'Phys.Foundation.ContinuumQ.sum_range_odd_split_gen' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.sum_range_even_split_gen' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ccCoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ssCoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.scCoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.csCoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ccProd_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ssProd_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.scProd_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.csProd_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ccCoeff_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ssCoeff_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.scCoeff_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.csCoeff_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_mul_cutCos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_mul_cutSin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_mul_cutCos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_mul_cutSin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ccCoeff_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ccCoeff_factored' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ssCoeff_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.ssCoeff_factored' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.scCoeff_factored' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.csCoeff_factored' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cosTermC_add_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cosTermC_add_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.sinTermC_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_sq_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_sq_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.neg_one_le_cutCos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.neg_one_le_cutSin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.abs_cutCos_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.abs_cutSin_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutCos_add_one_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Foundation.ContinuumQ.cutSin_add_one_one' depends on axioms: [propext, Classical.choice, Quot.sound]
