'Phys.Quantum.Jexch_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_eInward' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_eOutward' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.eInwOut_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.plus_completion_has_lookback_fixed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.self_blind_forbids_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Jexch_isFoldRoot_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_isFoldRoot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_self_blind' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_eq_J₂' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.complex_structure_forced' depends on axioms: [propext, Classical.choice, Quot.sound]
