'Phys.Quantum.kahlerForm_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornForm_foldComplex_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.foldComplex_skew_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.kahlerForm_antisymm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.kahlerForm_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.toDbl_foldComplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.hInner_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.hInner_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.hInner_conj_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_eq_dblNormSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_eq_self_overlap_of_amplitude' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_eInward_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_eInward_eOutward' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornProb_eq_mul_normSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.born_rule_derived' depends on axioms: [propext, Classical.choice, Quot.sound]
