'Phys.Quantum.gatherIn_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gatherOut_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gather_resolves_unity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gatherIn_idem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gatherOut_idem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gatherIn_gatherOut' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.gatherOut_gatherIn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.totalGather_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.totalGather_idem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.wIn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.wOut_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.outcome_weights_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.outcome_probs_sum_to_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.coherence_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.coherence_real_blind' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.weights_blind_to_coherence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.coherence_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.totalWeight_phase_blind' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.measurement_is_the_gather' depends on axioms: [propext, Classical.choice, Quot.sound]
