'Phys.Quantum.scatteringOp_eq_evolve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.scatteringOp_conserves_gather' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.scatteringOp_sheaf' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.scatteringOp_amplitude' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.scatteringOp_closes_singlet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bornAction_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.asymptotic_iff_massless' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.confined_excluded' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.confined_gapped' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.domain_flat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.domain_massless' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.smatrix_nonvacuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.smatrix_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
