'Phys.Algebra.Winding.windingRungIndex_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRungIndex_spacing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRungIndex_residue' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRungIndex_not_dvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRungIndex_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRung_ne_baryonGrid' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.groundRung' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRung_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.boundary_is_first_descent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingPhase_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingPhase_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingPhase_step_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.criticalBudget_channelform' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.candidate_boundary_expressible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.windingRungIndex_spacing_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Winding.boundaryRungIndex_ne_ground' depends on axioms: [propext, Quot.sound]
'Phys.Algebra.Winding.winding_quantization' depends on axioms: [propext, Classical.choice, Quot.sound]
