'Phys.Algebra.windingRungIndex_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingRungShift_quantized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingRungIndex_emod' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.baseOffset_not_cycle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingRungIndex_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingRungIndex_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingRung_at_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingPhase_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingPhase_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingPhase_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.windingPhase_step_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.criticalBudget_channelform' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.winding_quantization_structure' depends on axioms: [propext, Classical.choice, Quot.sound]
