'Phys.Algebra.Gear.s1BornProb_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.mbBornRatio_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.mbBornRatio_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.three_not_isSquare_rat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.no_rat_sqrt_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.s2_gear_search_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.gear_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.s1BornProb_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.selection_bites' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.mbBornRatio_one_nontrivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Gear.gear_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
