'Phys.Algebra.ScaleChain.absScaleChain_factors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.chain_budget_weld' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.mbLink_is_banked_survival' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.mbLink_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.meLink_at_winding_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.meLink_first_descent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.absScaleChain_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.anchor_survival_suppressed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.anchor_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.mbLink_one_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.meLink_ne_ground' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.ScaleChain.absolute_scale_chain_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
