'Phys.Algebra.reQ_sub_O' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.assocLocus_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.confinement_is_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.cascade_stop_is_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.curvature_is_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.curvature_somewhere_is_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.cp_real_channel_gathers' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.cp_imaginary_channel_obstructed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.four_terminations_one_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.confinement_iff_curvature' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.confinement_iff_cascade_stop' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.one_witness_four_faces' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.obstruction_proper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.obstruction_unification' depends on axioms: [propext, Classical.choice, Quot.sound]
