'Phys.Algebra.boostFunC_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostParam_hyp_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostFunC_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostFunC_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostGenC_sq_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostFunC_eq_gen_poly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostOPS' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostOPS_le_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.irrBoost_mem_boostOPS' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostOPS_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostExp_eq_boostFunC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostExp_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostExp_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.boostExp_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
