'Phys.Algebra.rotCircFun_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.circParam_circle_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_eq_rotFunC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gFormC_circParam_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircOPS' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircOPS_le_isom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2_imag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2_alt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2_gFormC_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.e2_gFormC_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircOPS_e2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircFun_e2_quarter_ne_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.rotCircOPS_e2_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
