'Phys.Algebra.CKMTwoSectorPhase.phaseEl_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.phaseEl_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.phaseEl_normSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.twoP_eq_quarter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.cpFactorDerived_eq_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.cpBalance' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.cpFactor_between' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_eq_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogCorrected_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogCorrected_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogCorrected_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogCorrected_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.two_sector_overlap_unitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.two_sector_mixing_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.two_sector_corner_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.cpFactor_ne_maximal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.jarlskogSqCorrected_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.CKMTwoSectorPhase.two_sector_ckm_derived_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
