'Phys.Algebra.cToO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.gForm_cToO' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.emb4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.emb4_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.emb4_preserves_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4_time_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4_space' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4_space_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4_space_def' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_STV4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_spaceSub4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.finrank_timeSub4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.timeSub4_isCompl_spaceSub4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4v_pos_on_time4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.Q4v_neg_on_space4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.signature_one_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.spacetime_reduction' depends on axioms: [propext, Classical.choice, Quot.sound]
