'Phys.Algebra.AbsMass.absMass0_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absMass1_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absMass2_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absMass_order_12' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absMass_order_20' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.abs_ratio_12' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.abs_ratio_20' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.koide_abs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.ampScale_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.sum_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.breaking_direction_moves' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.symmetry_fixes_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.breaking_direction_outside_symmetry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.massScale_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absMass_nondegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.breaking_direction_nontrivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.AbsMass.absolute_mass_spectrum' depends on axioms: [propext, Classical.choice, Quot.sound]
