'Phys.Quantum.bornForm_cauchy_schwarz' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.correlation_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.chshValue_regroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.unitSettings_parallelogram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.chshValue_sq_le_eight' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.sqrt2_sq_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelsonBound_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelsonBound_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.chshValue_le_tsirelson' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.abs_chshValue_le_tsirelson' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelson_gt_classical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelson_lt_logical_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.two_pinv_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.four_pinv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.optSettings_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelson_saturated' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bellOverlap_tmul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.bellOverlap_bell' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.tsirelson_bound_derived' depends on axioms: [propext, Classical.choice, Quot.sound]
