'Phys.Quantum.Radiation.mink_eq_nullForm_lc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.nullForm_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.minkForm_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_eq_gatherIn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_in_outHalf' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_kills_inHalf' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.two_halves_resolve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_idem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_not_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.discardedWeight_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.discardedWeight_nonvacuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_discards_real_coherence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.discarded_weight_never_recovered' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.ungather_forbidden' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_lc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radGather_selects_outgoing_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Quantum.Radiation.radiation_arrow' depends on axioms: [propext, Classical.choice, Quot.sound]
