'Phys.Algebra.netHyperDepth_matterOnly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.netHyperDepth_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.netIsoDepth_reduced' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.netIsoDepth_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.channel_gather_asymmetry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.net_ratio_breaks_up' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.sinSqRun_prop_general' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.twoChannel_mixing_departs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.twoChannel_switchoff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.invAlphaY_symmetric_prop' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.symmetric_frozen' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.em_waypoint_consistency' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.asymmetry_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.departure_needs_reduction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.mixing_ne_wrong' depends on axioms: [propext, Classical.choice, Quot.sound]
'Phys.Algebra.twoChannelDescent_landing' depends on axioms: [propext, Classical.choice, Quot.sound]
